,Units,scenario,region,sector,subsector,technology,Year,value
34,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2075,0.14784
35,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2080,0.148193
36,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2085,0.148392
37,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2090,0.148451
38,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2095,0.14839
39,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2100,0.148214
40,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2005,0.0762458
41,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2010,0.0845499
42,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2015,0.0851009
43,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2020,0.0855015
44,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2025,0.0799827
45,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2030,0.0770012
