,Units,scenario,region,Year,value
50,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Southern,2025,30.637411118108556
51,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Southern,2030,32.11692715586603
52,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Southern,2035,32.66542613422801
53,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Southern,2040,33.520238423315725
54,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Southern,2045,36.33878325687463
55,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Southern,2050,40.61308838275858
56,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Southern,2055,44.74757603294303
57,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Southern,2060,47.924117124930014
58,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Southern,2065,48.687806464783606
59,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Southern,2070,48.331251913121555
60,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Southern,2075,44.83591138667114
61,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Southern,2080,39.948933012723266
62,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Southern,2085,34.98383045329921
63,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Southern,2090,30.51953882484656
64,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Southern,2095,26.603040625231074
65,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Southern,2100,23.783571821770366
66,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,1975,5.65993855
67,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,1990,17.057191796999994
68,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,2005,31.69999450911001
69,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,2010,36.04074216037002
70,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,2015,48.87009503978001
71,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,2020,69.71909234618266
72,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,2025,79.69094600642607
73,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,2030,92.90243887931051
