,Units,scenario,region,sector,Year,value
42,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,N fertilizer,2055,0.156645055942245
43,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,N fertilizer,2060,0.15467386942714
44,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,N fertilizer,2065,0.1570407171976339
45,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,N fertilizer,2070,0.16535693066248888
46,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,N fertilizer,2075,0.17358374276588065
47,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,N fertilizer,2080,0.17559783141805252
48,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,N fertilizer,2085,0.16952897057973804
49,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,N fertilizer,2090,0.1545553297150184
50,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,N fertilizer,2095,0.1326527344127965
51,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,N fertilizer,2100,0.1075571713021251
52,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,agricultural energy use,1975,0.0702177
53,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,agricultural energy use,1990,0.1236633
54,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,agricultural energy use,2005,0.2983577442534858
55,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,agricultural energy use,2010,0.21274603264106615
56,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,agricultural energy use,2015,0.2622832309028248
57,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,agricultural energy use,2020,0.2698179290820974
58,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,agricultural energy use,2025,0.27193265717017123
59,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,agricultural energy use,2030,0.24385945200853162
60,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,agricultural energy use,2035,0.2031607266915854
61,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,agricultural energy use,2040,0.1702015086265419
62,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,agricultural energy use,2045,0.1350350702178567
63,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,agricultural energy use,2050,0.10104279420978603
64,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,agricultural energy use,2055,0.08072525905125617
65,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,agricultural energy use,2060,0.06965335903958196
66,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,agricultural energy use,2065,0.06249979984313124
67,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,agricultural energy use,2070,0.05500200249439442
68,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,agricultural energy use,2075,0.0477123588677106
69,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,agricultural energy use,2080,0.041228309586568354
70,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,agricultural energy use,2085,0.03578913225725258
71,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,agricultural energy use,2090,0.03138557982326416
72,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,agricultural energy use,2095,0.02747978014584469
73,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,agricultural energy use,2100,0.02343180648612606
74,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,backup_electricity,2020,0.0886800214951269
75,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,backup_electricity,2025,0.5920264354997922
76,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,backup_electricity,2030,1.9560262339376602
77,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,backup_electricity,2035,3.899476223588762
78,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,backup_electricity,2040,6.438461218712821
79,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,backup_electricity,2045,9.35033950019698
