,region,scenario,technology,Year,value
50,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2055,13.03674879
51,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2060,13.19648414
52,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2065,13.2918181
53,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2070,13.28073066
54,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2075,13.080198979999999
55,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2080,12.435851929999998
56,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2085,11.21546951
57,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2090,9.513776987
58,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2095,7.5659300169999995
59,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2100,5.615302814
60,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2005,6.5256135
61,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2010,7.050002908000001
62,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2015,10.83827137
63,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2020,16.14326438478265
64,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2025,19.291243352384058
65,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2030,24.68408235645553
66,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2035,31.997234485119876
67,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2040,43.550735490901324
68,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2045,58.791106845642766
69,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2050,74.54294754125202
70,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2055,87.663043029677
71,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2060,96.95379304902413
72,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2065,98.76390098546601
73,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2070,95.12073844725802
74,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2075,87.32642430010289
75,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2080,78.5076498028006
76,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2085,70.22546066050674
77,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2090,62.60134717110455
78,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2095,55.723892548557586
79,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2100,49.429865174563105
80,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2025,0.064826892
81,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2030,0.422548054
82,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2035,0.987841071
83,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2040,1.5554079739999997
84,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2045,1.8505499060000001
85,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2050,1.9224071298999998
86,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2055,1.9373036834
87,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2060,2.09894121596
88,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2065,2.0001959149
89,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2070,1.4577834229
90,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2075,0.8274757607000001
91,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2080,0.41535913110000006
92,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2085,0.2101608
93,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2090,0.11773605999999999
94,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2095,0.07748606899999999
95,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",hydrogen,2100,0.06031185830000001
96,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2005,22.964938055
97,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2010,26.153060427
98,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2015,34.93527194
99,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2020,49.071896963
100,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2025,56.1452963599
101,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2030,66.82904052874
102,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2035,79.37960803593
103,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2040,94.50305929058
104,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2045,111.77599255168997
105,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2050,128.779573207372
106,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2055,143.83078618006203
107,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2060,152.49042476589534
108,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2065,152.28004133796333
109,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2070,143.29718892653318
110,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2075,133.83169373034985
111,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2080,124.3277865236923
112,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2085,113.84310226202915
113,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2090,102.21462462159296
114,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2095,89.7166310887004
115,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",refined liquids,2100,77.20592537421926
116,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2005,5.228485200000001
117,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2010,5.966865800000001
118,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2015,9.994438600000002
119,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2020,11.8129027744
120,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2025,12.773300535899999
121,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2030,11.243823152800001
122,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2035,7.5250737176
123,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2040,4.9227589070999995
124,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2045,3.0040184016999993
125,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2050,1.83606702228
126,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2055,1.148236623791
127,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2060,0.7756550546639999
128,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2065,0.5402878758177
129,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2070,0.40075761915670005
130,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2075,0.30431428283652995
131,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2080,0.23239891769881005
132,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2085,0.17453159200496995
133,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2090,0.127181635850362
134,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2095,0.089557585552253
135,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2100,0.05675623906303999
136,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2005,3.6122198999999924
137,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2010,0.3608891560000018
138,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2015,-2.8217229400000066
139,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2020,-11.107288392900017
140,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2025,-14.6902312741
141,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2030,-25.2279560502
142,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2035,-39.945617309700005
143,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2040,-54.2826700137
144,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2045,-71.51980760403
145,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2050,-86.14513379308
146,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2055,-99.452705126858
147,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2060,-111.1849469068117
148,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2065,-129.6428134451406
149,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2070,-151.91733219689206
150,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2075,-162.36410869402985
151,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2080,-164.935848729598
152,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2085,-163.63858747016457
153,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2090,-161.73184996603604
154,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2095,-161.91168359887808
155,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2100,-165.94471690608023
156,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2005,6.8632928
157,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2010,8.782482700000001
158,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2015,8.841602700000001
159,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2020,9.0501906
160,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2025,9.8821868
161,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2030,9.701099089999998
162,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2035,8.40539327
163,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2040,6.982700940000001
164,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2045,6.201314559999999
165,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2050,5.6344107
166,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2055,4.8677837
167,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2060,3.90045032
168,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2065,2.93831939
169,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2070,2.1613735000000003
170,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2075,1.5600359000000001
171,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2080,1.09828562
172,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2085,0.7625056800000001
173,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2090,0.5264668
174,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2095,0.35873916
175,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2100,0.23717253300000002
176,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2005,8.702866290000001
177,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2010,12.493372469999999
178,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2015,18.835821129999992
179,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2020,24.6927762815
180,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2025,27.3163568975
181,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2030,28.23659367370001
182,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2035,28.425595093999995
183,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2040,29.381679684600005
184,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2045,30.412061574159992
185,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2050,30.674653013680004
186,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2055,29.608001784921992
187,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",gas,2060,27.21571241535899
