,region,scenario,input,Year,value
0,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",c coal,2005,0.012137400041
1,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",c coal,2010,0.017482424012999997
2,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",c coal,2015,0.028226722512000004
3,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",c coal,2020,0.045186631473000005
4,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",c coal,2025,0.06984152583900001
5,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",c coal,2030,0.10494189213
6,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",c coal,2035,0.154279563474
7,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",c coal,2040,0.22551596371700003
8,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",c coal,2045,0.324122134623
9,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",c coal,2050,0.45781395155000004
10,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",c coal,2055,0.6233500989040001
11,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",c coal,2060,0.8033982412129999
12,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",c coal,2065,0.9852853051849999
13,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",c coal,2070,1.154774438258
14,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",c coal,2075,1.3022420379619999
15,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",c coal,2080,1.428354365487
16,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",c coal,2085,1.5319821836279994
17,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",c coal,2090,1.614415368247
18,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",c coal,2095,1.6783547584290004
19,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",c coal,2100,1.7262474764209006
20,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",d biomass,2005,1.2914609110000002
21,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",d biomass,2010,1.6788411506
22,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",d biomass,2015,2.2910892209
23,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",d biomass,2020,3.1096388051000003
24,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",d biomass,2025,5.1046857574
25,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",d biomass,2030,7.092055032400001
26,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",d biomass,2035,9.2834300065
27,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",d biomass,2040,11.509263144199998
28,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",d biomass,2045,13.673986979630001
29,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",d biomass,2050,15.236996748997004
30,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",d biomass,2055,16.689688180349
31,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",d biomass,2060,17.763525099829998
32,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",d biomass,2065,18.41061624468
33,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",d biomass,2070,18.613749946445534
34,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",d biomass,2075,18.406727145803863
35,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",d biomass,2080,17.83138062842037
36,Africa_Western,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",d biomass,2085,17.113717697324848
