Year,biomass,fossil fuel,industry,refined liquid
2005,,,0.1508244,
2010,,,0.1729384,
2015,,,0.1503634,
2020,,,0.1750805,
2025,0.006596729399999999,0.898943654,0.2919759549,0.39693069999999997
2030,0.031747791600000005,2.0193789982,0.6241554927,0.48561021099999996
2035,0.1170032545,3.1426723155,1.5555011263,0.570772178
2040,0.23525794560000002,3.8581494512000005,2.8647445491,0.578555841
2045,0.3205803321,4.3160892383,4.1407213786999995,0.500394507
2050,0.3523964754,4.26335016509,5.2552525405,0.41591583460000003
2055,0.29131507943999996,3.3943094662,5.92990243963,0.2938863163
2060,0.25969916482,2.5160886404779994,6.284465730393501,0.18497457150000002
2065,0.23010108549,1.793671055012,6.35048061819162,0.11501950434
2070,0.20775584918,1.2873352714839998,6.18748373986641,0.07706144065000001
2075,0.20687444906799998,0.9696666666487002,6.103620982632645,0.06002619453000001
2080,0.22505655358899998,0.7706709992936001,6.167115056830511,0.050570211987
2085,0.278984576807,0.6965549474823,6.357048498336667,0.047398210732
2090,0.32362017025600004,0.6506963248540001,6.595262722809168,0.040226983892
2095,0.34325287968499996,0.5967937284146,6.803337118779062,0.030139995124
2100,0.35970012573000004,0.568809825838,6.9305845617357456,0.030195112872000003
