,region,scenario,input,Year,value
47,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2040,3.7045168873751457
48,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2045,6.099232069207989
49,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2050,9.167923721433002
50,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2055,12.756444123599998
51,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2060,16.65257948946799
52,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2065,20.611071614755993
53,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2070,24.36220854279179
54,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2075,27.717446752739907
55,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2080,30.55360301827657
56,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2085,32.867634069378184
57,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2090,34.612675579907
58,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2095,35.81251719631873
59,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",electricity,2100,36.77104506865971
60,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2005,0.27373665399999997
61,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2010,0.2361392183
62,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2015,0.37754651966100006
63,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2020,0.5175901109066571
64,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2025,0.6757029927735567
65,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2030,0.8440289320034321
66,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2035,1.033649171432895
67,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2040,1.2826210769627344
68,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2045,1.5936652899496524
69,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2050,1.9352206619115
70,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2055,2.2512371545384995
71,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2060,2.4772212471265016
72,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2065,2.579298429349001
73,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2070,2.5601146034429987
74,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2075,2.427851138863699
75,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2080,2.2174423975354984
76,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2085,1.9624908619596797
77,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2090,1.6889293429648229
78,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2095,1.4153926840344204
79,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",gas,2100,1.1560907035689398
80,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2025,0.0029388356582
81,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2030,0.017952497438999997
82,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2035,0.055914364998
83,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2040,0.11816460926470003
84,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2045,0.20038905843200006
85,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2050,0.3046760745400002
86,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2055,0.42546042483000013
87,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2060,0.5647772203499998
88,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2065,0.7318624657500002
89,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2070,0.9379094679600002
90,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2075,1.1606751936
91,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2080,1.3851106079000002
92,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2085,1.6225858442
