Year,industry
2005,44.684940000000005
2010,59.9888
2015,80.3142
2020,98.1122
2025,114.9864
2030,130.3703025073213
2035,145.63925004414455
2040,159.47238776645787
2045,169.03648876326022
2050,174.5910855212223
2055,177.09549655200155
2060,177.16750705580694
2065,175.73300287111906
2070,173.2497899354598
2075,169.88098013910945
2080,166.20107403001907
2085,162.45736709195518
2090,158.5952581574507
2095,154.748349932211
2100,150.78604431766257
