,region,scenario,technology,Year,value
0,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",c coal,2005,0.5572319411100001
1,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",c coal,2010,0.78429825037
2,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",c coal,2015,0.92796167978
3,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",c coal,2020,1.49488647495
4,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",c coal,2025,2.24370472079
5,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",c coal,2030,3.3272162247600003
6,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",c coal,2035,4.82920612647
7,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",c coal,2040,7.0604260418900004
8,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",c coal,2045,10.16549369221
9,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",c coal,2050,14.65639987966
10,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",c coal,2055,20.974248771440003
11,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",c coal,2060,28.85413356088
12,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",c coal,2065,38.704279596982744
13,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",c coal,2070,50.67543618634485
14,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",c coal,2075,64.14870267194493
15,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",c coal,2080,79.8482839708728
16,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",c coal,2085,97.56202995621845
17,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",c coal,2090,116.73822434717248
18,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",c coal,2095,138.79979571921515
19,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",c coal,2100,161.45884952014646
20,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",d biomass,2005,8.401300000127065e-05
21,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",d biomass,2010,-0.00047302499999890557
22,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",d biomass,2015,1.5050000007121866e-05
23,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",d biomass,2020,-0.12535273119999601
24,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",d biomass,2025,-1.3878293915999969
25,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",d biomass,2030,-3.8898388102999846
26,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",d biomass,2035,-7.316511477399992
27,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",d biomass,2040,-12.557607116200018
28,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",d biomass,2045,-19.646056977300006
29,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",d biomass,2050,-27.01774213046525
30,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",d biomass,2055,-34.39594599754493
31,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",d biomass,2060,-41.53779611055681
32,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",d biomass,2065,-48.61674395482051
33,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",d biomass,2070,-55.85918117258733
34,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",d biomass,2075,-63.61864208673816
35,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",d biomass,2080,-72.4132238247232
36,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",d biomass,2085,-82.48029571271256
37,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",d biomass,2090,-93.23557576370504
38,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",d biomass,2095,-104.36090924670026
39,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",d biomass,2100,-115.68318913069804
40,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",electricity,2005,1.6521270000000001
41,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",electricity,2010,2.0538536
