Year,biomass,fossil fuel,industry,refined liquid
2005,,,9.793790000000001,
2010,,,12.5776,
2015,,,11.732520000000001,
2020,,,13.482941102,
2025,0.048658204000000004,2.0186417899999998,16.649311397,1.6096574
2030,0.343767313,5.49527204,23.174103596,2.74770267
2035,1.186355837,9.339285779999999,32.738713002999994,3.54652658
2040,2.038430152,12.58297777,41.03478103799999,3.4877582799999995
2045,2.6631344649999997,14.890368546,47.3600974255,2.9310696900000006
2050,3.1698019319999995,16.198134131,52.21988709970001,2.5066242
2055,4.230550954,17.775197495,56.99075407130001,2.61298359
2060,6.256409314,19.493947711,61.720383474805,2.81772558
2065,9.151693465000001,20.678576702999997,68.963242724323,2.97559531
2070,12.317166161,20.264373578000004,77.8396922207387,3.04001899
2075,15.907271186000003,19.060673633300002,83.46463311500695,3.2329230200000003
2080,19.476704026,17.4465905624,88.3299611439807,3.3578945
2085,23.767939339999998,16.26888594,91.30291298857819,3.7298673399999998
2090,29.258115650999997,15.534509661000001,92.04519336166226,4.40335836
2095,34.60986343650405,14.668483302,93.08471194421371,5.280157829999999
2100,40.88081509650404,13.208658728,96.4028894374706,6.3936944
