sector,2030,2050,2085
N fertilizer,1.23,14.14,39.58
process heat cement,0.84,7.99,33.82
construction energy use,2.54,11.33,16.9
resid heating,0.15,1.53,15.98
chemical energy use,0.0,0.0,14.87
transport,0.39,2.77,9.22
mining energy use,0.79,3.88,8.29
comm heating,0.11,0.73,7.09
agricultural energy use,1.39,4.93,6.28
other industrial energy use,0.1,0.77,2.61
iron and steel,0.26,0.49,2.17
resid others,0.02,0.2,0.56
comm others,0.01,0.05,0.11
