,region,sector,Year,value
0,Africa_Western,N fertilizer,2025,0.000248333
1,Africa_Western,N fertilizer,2030,0.000509836
2,Africa_Western,N fertilizer,2035,0.001307907
3,Africa_Western,N fertilizer,2040,0.00264206
4,Africa_Western,N fertilizer,2045,0.004577819
5,Africa_Western,N fertilizer,2050,0.0066050527
6,Africa_Western,N fertilizer,2055,0.008303388399999998
7,Africa_Western,N fertilizer,2060,0.00970043784
8,Africa_Western,N fertilizer,2065,0.01121804181
9,Africa_Western,N fertilizer,2070,0.01295272726
10,Africa_Western,N fertilizer,2075,0.0147632774
11,Africa_Western,N fertilizer,2080,0.0165685809
12,Africa_Western,N fertilizer,2085,0.0184167808
13,Africa_Western,N fertilizer,2090,0.020230864200000004
14,Africa_Western,N fertilizer,2095,0.021853306299999996
15,Africa_Western,N fertilizer,2100,0.0231727665
16,Africa_Western,agricultural energy use,2025,0.000100568
17,Africa_Western,agricultural energy use,2030,0.0003667365
18,Africa_Western,agricultural energy use,2035,0.0007648759
19,Africa_Western,agricultural energy use,2040,0.0011213754000000001
20,Africa_Western,agricultural energy use,2045,0.0014452217
21,Africa_Western,agricultural energy use,2050,0.0016649117
22,Africa_Western,agricultural energy use,2055,0.001777274
23,Africa_Western,agricultural energy use,2060,0.001848263
24,Africa_Western,agricultural energy use,2065,0.001914966
25,Africa_Western,agricultural energy use,2070,0.001994994
26,Africa_Western,agricultural energy use,2075,0.0020626710000000003
27,Africa_Western,agricultural energy use,2080,0.002097818
28,Africa_Western,agricultural energy use,2085,0.002101981
29,Africa_Western,agricultural energy use,2090,0.002085305
30,Africa_Western,agricultural energy use,2095,0.0020582
31,Africa_Western,agricultural energy use,2100,0.0020218099999999998
32,Africa_Western,chemical energy use,2055,0.000583578
33,Africa_Western,chemical energy use,2060,0.00142
34,Africa_Western,chemical energy use,2065,0.002476738
35,Africa_Western,chemical energy use,2070,0.0035567050000000003
36,Africa_Western,chemical energy use,2075,0.004455048
37,Africa_Western,chemical energy use,2080,0.005452864
38,Africa_Western,chemical energy use,2085,0.0065656985
39,Africa_Western,chemical energy use,2090,0.007727999330000001
40,Africa_Western,chemical energy use,2095,0.00886389076
41,Africa_Western,chemical energy use,2100,0.010001469445000001
42,Africa_Western,comm others,2025,2.05422e-08
43,Africa_Western,comm others,2030,2.91478e-07
44,Africa_Western,comm others,2035,8.35504e-07
45,Africa_Western,comm others,2040,2.14988e-06
46,Africa_Western,comm others,2045,4.78301e-06
47,Africa_Western,comm others,2050,9.6781e-06
48,Africa_Western,comm others,2055,1.50532e-05
49,Africa_Western,comm others,2060,2.11589e-05
50,Africa_Western,comm others,2065,2.89351e-05
51,Africa_Western,comm others,2070,3.87088e-05
52,Africa_Western,comm others,2075,4.93414e-05
53,Africa_Western,comm others,2080,6.11136e-05
54,Africa_Western,comm others,2085,7.3514e-05
55,Africa_Western,comm others,2090,8.61802e-05
56,Africa_Western,comm others,2095,9.96124e-05
57,Africa_Western,comm others,2100,0.000115475
58,Africa_Western,construction energy use,2025,8.30559e-06
59,Africa_Western,construction energy use,2030,2.9967359999999998e-05
60,Africa_Western,construction energy use,2035,6.299495e-05
61,Africa_Western,construction energy use,2040,9.813733e-05
62,Africa_Western,construction energy use,2045,0.00013665663
63,Africa_Western,construction energy use,2050,0.00017221399
64,Africa_Western,construction energy use,2055,0.00019806782
65,Africa_Western,construction energy use,2060,0.00021702769999999998
66,Africa_Western,construction energy use,2065,0.0002331117
67,Africa_Western,construction energy use,2070,0.0002486317
68,Africa_Western,construction energy use,2075,0.0002660594
69,Africa_Western,construction energy use,2080,0.0002833683
70,Africa_Western,construction energy use,2085,0.0002990223
71,Africa_Western,construction energy use,2090,0.0003136695
72,Africa_Western,construction energy use,2095,0.000327921
73,Africa_Western,construction energy use,2100,0.00034231979999999995
74,Africa_Western,iron and steel,2025,1.522126e-05
75,Africa_Western,iron and steel,2030,7.277512e-05
76,Africa_Western,iron and steel,2035,0.00016974679999999997
77,Africa_Western,iron and steel,2040,0.00032114027
78,Africa_Western,iron and steel,2045,0.0005434251099999999
79,Africa_Western,iron and steel,2050,0.00085122457
80,Africa_Western,iron and steel,2055,0.0012346753
81,Africa_Western,iron and steel,2060,0.0016981252
82,Africa_Western,iron and steel,2065,0.0022879396
83,Africa_Western,iron and steel,2070,0.0030345817
84,Africa_Western,iron and steel,2075,0.0039172529
85,Africa_Western,iron and steel,2080,0.0049266339
86,Africa_Western,iron and steel,2085,0.0060749284
87,Africa_Western,iron and steel,2090,0.007383747699999999
88,Africa_Western,iron and steel,2095,0.0088955629
89,Africa_Western,iron and steel,2100,0.0105954333
90,Africa_Western,mining energy use,2025,1.34066e-05
91,Africa_Western,mining energy use,2030,5.09619e-05
92,Africa_Western,mining energy use,2035,0.00011198794
93,Africa_Western,mining energy use,2040,0.00017422639
94,Africa_Western,mining energy use,2045,0.0002440764
95,Africa_Western,mining energy use,2050,0.0003090018
96,Africa_Western,mining energy use,2055,0.00035710420000000003
97,Africa_Western,mining energy use,2060,0.0003965364
98,Africa_Western,mining energy use,2065,0.00043623340000000004
99,Africa_Western,mining energy use,2070,0.0004825839
100,Africa_Western,mining energy use,2075,0.0005327234000000001
101,Africa_Western,mining energy use,2080,0.0005807625
102,Africa_Western,mining energy use,2085,0.0006264438
103,Africa_Western,mining energy use,2090,0.0006708017
104,Africa_Western,mining energy use,2095,0.0007150926000000001
105,Africa_Western,mining energy use,2100,0.0007602415
106,Africa_Western,other industrial energy use,2025,0.00115146
107,Africa_Western,other industrial energy use,2030,0.006619386999999999
108,Africa_Western,other industrial energy use,2035,0.017546256000000003
109,Africa_Western,other industrial energy use,2040,0.037839164999999994
110,Africa_Western,other industrial energy use,2045,0.06775946299999999
111,Africa_Western,other industrial energy use,2050,0.10947990400000002
112,Africa_Western,other industrial energy use,2055,0.1614725809
113,Africa_Western,other industrial energy use,2060,0.21808184454999996
114,Africa_Western,other industrial energy use,2065,0.27624201460000003
115,Africa_Western,other industrial energy use,2070,0.33519027939999996
116,Africa_Western,other industrial energy use,2075,0.3944709265
117,Africa_Western,other industrial energy use,2080,0.45312910000000006
118,Africa_Western,other industrial energy use,2085,0.50930237
119,Africa_Western,other industrial energy use,2090,0.56132629
120,Africa_Western,other industrial energy use,2095,0.6080632960000001
121,Africa_Western,other industrial energy use,2100,0.6499385860000001
122,Africa_Western,process heat cement,2025,0.000295174
123,Africa_Western,process heat cement,2030,0.0029915980000000003
124,Africa_Western,process heat cement,2035,0.009573439
125,Africa_Western,process heat cement,2040,0.023381252999999998
126,Africa_Western,process heat cement,2045,0.043318813
127,Africa_Western,process heat cement,2050,0.0658946833
128,Africa_Western,process heat cement,2055,0.0903691896
129,Africa_Western,process heat cement,2060,0.11526720424
130,Africa_Western,process heat cement,2065,0.1434338798
131,Africa_Western,process heat cement,2070,0.17662580760000002
132,Africa_Western,process heat cement,2075,0.214164153
133,Africa_Western,process heat cement,2080,0.255496417
134,Africa_Western,process heat cement,2085,0.29953152400000005
135,Africa_Western,process heat cement,2090,0.342953521
136,Africa_Western,process heat cement,2095,0.383358547
137,Africa_Western,process heat cement,2100,0.41975168
138,Africa_Western,trn_aviation_intl,2035,3.3001e-08
139,Africa_Western,trn_aviation_intl,2040,8.82972e-07
140,Africa_Western,trn_aviation_intl,2045,1.72946e-05
141,Africa_Western,trn_aviation_intl,2050,0.000248812
142,Africa_Western,trn_aviation_intl,2055,0.000609636
143,Africa_Western,trn_aviation_intl,2060,0.00140314
144,Africa_Western,trn_aviation_intl,2065,0.00299181
145,Africa_Western,trn_aviation_intl,2070,0.00607754
146,Africa_Western,trn_aviation_intl,2075,0.0104552
147,Africa_Western,trn_aviation_intl,2080,0.0156682
148,Africa_Western,trn_aviation_intl,2085,0.0228529
149,Africa_Western,trn_aviation_intl,2090,0.0330765
150,Africa_Western,trn_aviation_intl,2095,0.0483574
151,Africa_Western,trn_aviation_intl,2100,0.0726921
152,Africa_Western,trn_freight,2025,9.47584e-05
153,Africa_Western,trn_freight,2030,0.000407643
154,Africa_Western,trn_freight,2035,0.00092716294
155,Africa_Western,trn_freight,2040,0.001355092
156,Africa_Western,trn_freight,2045,0.0017274069999999998
157,Africa_Western,trn_freight,2050,0.00218478
158,Africa_Western,trn_freight,2055,0.0027385919999999998
159,Africa_Western,trn_freight,2060,0.003389264
160,Africa_Western,trn_freight,2065,0.0041695
161,Africa_Western,trn_freight,2070,0.00519817
162,Africa_Western,trn_freight,2075,0.00597213
163,Africa_Western,trn_freight,2080,0.00644155
164,Africa_Western,trn_freight,2085,0.00683789
165,Africa_Western,trn_freight,2090,0.00716486
166,Africa_Western,trn_freight,2095,0.00745981
167,Africa_Western,trn_freight,2100,0.00787659
168,Africa_Western,trn_freight_road,2025,0.00026263722300000006
169,Africa_Western,trn_freight_road,2030,0.0028277784389999995
170,Africa_Western,trn_freight_road,2035,0.015226713461
171,Africa_Western,trn_freight_road,2040,0.036390354536700004
172,Africa_Western,trn_freight_road,2045,0.06225550005
173,Africa_Western,trn_freight_road,2050,0.09055700979999998
174,Africa_Western,trn_freight_road,2055,0.1159688625
175,Africa_Western,trn_freight_road,2060,0.140910465
176,Africa_Western,trn_freight_road,2065,0.16969504300000002
177,Africa_Western,trn_freight_road,2070,0.206333208
178,Africa_Western,trn_freight_road,2075,0.248003653
179,Africa_Western,trn_freight_road,2080,0.29093264900000004
180,Africa_Western,trn_freight_road,2085,0.33497835
181,Africa_Western,trn_freight_road,2090,0.38019108999999995
182,Africa_Western,trn_freight_road,2095,0.4272318
183,Africa_Western,trn_freight_road,2100,0.47122611
184,Africa_Western,trn_pass,2035,0.000135623
185,Africa_Western,trn_pass,2040,0.000613595
186,Africa_Western,trn_pass,2045,0.00256756
187,Africa_Western,trn_pass,2050,0.00947286
188,Africa_Western,trn_pass,2055,0.0227718
189,Africa_Western,trn_pass,2060,0.0485877
190,Africa_Western,trn_pass,2065,0.0903997
191,Africa_Western,trn_pass,2070,0.149548
192,Africa_Western,trn_pass,2075,0.209475
193,Africa_Western,trn_pass,2080,0.262806
194,Africa_Western,trn_pass,2085,0.316305
195,Africa_Western,trn_pass,2090,0.369547
196,Africa_Western,trn_pass,2095,0.422238
197,Africa_Western,trn_pass,2100,0.474556
198,Africa_Western,trn_pass_road,2025,0.000698181
199,Africa_Western,trn_pass_road,2030,0.00313979
200,Africa_Western,trn_pass_road,2035,0.00816182
201,Africa_Western,trn_pass_road,2040,0.011067
202,Africa_Western,trn_pass_road,2045,0.0110009
203,Africa_Western,trn_pass_road,2050,0.0100695
204,Africa_Western,trn_pass_road,2055,0.00908236
205,Africa_Western,trn_pass_road,2060,0.00835398
206,Africa_Western,trn_pass_road,2065,0.00773113
