Year,biomass,fossil fuel,industry,refined liquid
2005,,,14.14686,
2010,,,13.95987,
2015,,,18.48744,
2020,,,21.438604048300004,
2025,0.42801142,1.8603282600000002,30.087598626,2.0525612
2030,1.34519713,4.616876050000001,43.4132393359,3.0190922500000004
2035,4.2163159299999995,9.438140579999999,62.678622755000006,4.34271659
2040,7.633075740000001,14.21585623,82.62844493499,4.787671560000001
2045,10.218166966,17.437424051999997,102.00796194211,4.68759981
2050,10.807063843,16.967003166,118.55164232372698,3.9405029340000004
2055,7.9124014241000005,11.8346728052,125.471494798888,2.424489148
2060,6.1542504741,8.4047753482,125.06519538089002,1.4100621328
2065,4.7910617927,6.088347736409999,120.38630774811902,0.8595871815
2070,3.7473524455000002,4.57946050429,114.3226416070564,0.6297368312099999
2075,3.40915939875,3.70431601764,109.44921048215178,0.5798609377199999
2080,3.5280490659000003,3.14595597222,105.30253017507717,0.56517203106
2085,3.82834667983,2.83872612388,101.28721132674079,0.5528876269599999
2090,3.9903632085999994,2.59834925839,97.46892669589548,0.51863862684
2095,3.9504986713,2.3833967761799997,93.72424538782884,0.4626659065
2100,4.1497978825,2.40778432301,89.61069377274298,0.50871870427
