sector,region,2030,2050,2085
transport,India,3.57,17.82,46.35
transport,Africa_Western,0.84,5.82,26.4
transport,Pakistan,1.77,12.01,24.7
transport,South Asia,1.48,9.95,24.0
transport,Brazil,4.02,10.19,22.48
transport,China,3.09,5.35,17.04
