,Year,region,mode,technology,value
345,2035,South Asia,ship,BEV,2.8377451e-05
346,2035,South Asia,ship,FCEV,1.799868e-05
349,2040,Africa_Western,aviation,BEV,0.000931328961
352,2040,Africa_Western,rail,BEV,0.00147455
353,2040,Africa_Western,rail,Electric,0.0001428086
354,2040,Africa_Western,rail,FCEV,0.00191432
357,2040,Africa_Western,road,BEV,0.23425788315699397
358,2040,Africa_Western,road,FCEV,0.08087925745100001
361,2040,Africa_Western,ship,BEV,6.609563e-05
362,2040,Africa_Western,ship,FCEV,9.47615e-05
365,2040,Brazil,aviation,BEV,0.0008962975260000001
368,2040,Brazil,rail,BEV,0.00574306
369,2040,Brazil,rail,Electric,0.014947498
370,2040,Brazil,rail,FCEV,0.00841143
373,2040,Brazil,road,BEV,0.4019618707252
374,2040,Brazil,road,FCEV,0.11466970594
378,2040,Brazil,ship,BEV,0.0001300776
379,2040,Brazil,ship,FCEV,0.000171244
382,2040,China,aviation,BEV,0.01700752084
385,2040,China,rail,BEV,0.214229
386,2040,China,rail,Electric,0.26460744
387,2040,China,rail,FCEV,0.272149
390,2040,China,road,BEV,0.6852066435769799
391,2040,China,road,FCEV,0.28796302659
393,2040,China,road,LA-BEV,0.0054072
396,2040,China,ship,BEV,0.006170836000000001
397,2040,China,ship,FCEV,0.003587363
400,2040,India,aviation,BEV,0.003005375433
403,2040,India,rail,BEV,0.024796
404,2040,India,rail,Electric,0.08756222
405,2040,India,rail,FCEV,0.0363902
408,2040,India,road,BEV,0.5049895343705
409,2040,India,road,FCEV,0.204049919
413,2040,India,ship,BEV,0.00011753100000000001
414,2040,India,ship,FCEV,0.0002934617
417,2040,South Asia,aviation,BEV,7.828802890000001e-05
420,2040,South Asia,rail,BEV,0.001024188
421,2040,South Asia,rail,Electric,0.00045381670000000003
422,2040,South Asia,rail,FCEV,0.0009795210000000001
425,2040,South Asia,road,BEV,0.11679645502148998
426,2040,South Asia,road,FCEV,0.0464580495667
430,2040,South Asia,ship,BEV,8.4470952e-05
431,2040,South Asia,ship,FCEV,6.013994e-05
434,2045,Africa_Western,aviation,BEV,0.00330475098
437,2045,Africa_Western,rail,BEV,0.00185292
438,2045,Africa_Western,rail,Electric,0.000205598
439,2045,Africa_Western,rail,FCEV,0.00242233
442,2045,Africa_Western,road,BEV,0.3603793098597
