,Year,region,mode,technology,value
345,2035,South Asia,ship,BEV,4.1121941e-05
346,2035,South Asia,ship,FCEV,1.786611e-05
349,2040,Africa_Western,aviation,BEV,0.0009393244379999999
352,2040,Africa_Western,rail,BEV,0.00105752
353,2040,Africa_Western,rail,Electric,0.00018183700000000001
354,2040,Africa_Western,rail,FCEV,0.00133096
357,2040,Africa_Western,road,BEV,0.104295530265847
358,2040,Africa_Western,road,FCEV,0.0505411569227
361,2040,Africa_Western,ship,BEV,7.407371e-05
362,2040,Africa_Western,ship,FCEV,9.850709999999999e-05
365,2040,Brazil,aviation,BEV,0.000901291446
368,2040,Brazil,rail,BEV,0.00505576
369,2040,Brazil,rail,Electric,0.036136402000000005
370,2040,Brazil,rail,FCEV,0.00734469
373,2040,Brazil,road,BEV,0.29901884506515
374,2040,Brazil,road,FCEV,0.09957856432399999
378,2040,Brazil,ship,BEV,0.0001402315
379,2040,Brazil,ship,FCEV,0.00017023500000000003
382,2040,China,aviation,BEV,0.015211879610000001
385,2040,China,rail,BEV,0.151007
386,2040,China,rail,Electric,0.19839362000000002
387,2040,China,rail,FCEV,0.181338
390,2040,China,road,BEV,0.42876279639716003
391,2040,China,road,FCEV,0.231025087368
393,2040,China,road,LA-BEV,0.00218545
396,2040,China,ship,BEV,0.005785052
397,2040,China,ship,FCEV,0.002398992
400,2040,India,aviation,BEV,0.002219990847
403,2040,India,rail,BEV,0.0206927
404,2040,India,rail,Electric,0.08881378000000001
405,2040,India,rail,FCEV,0.02985
408,2040,India,road,BEV,0.4998707576973
409,2040,India,road,FCEV,0.19115002595099997
413,2040,India,ship,BEV,9.62516e-05
414,2040,India,ship,FCEV,0.0002215106
417,2040,South Asia,aviation,BEV,9.383348e-05
420,2040,South Asia,rail,BEV,0.0008351680000000001
421,2040,South Asia,rail,Electric,0.0006609216000000001
422,2040,South Asia,rail,FCEV,0.000702559
425,2040,South Asia,road,BEV,0.10720642673247001
426,2040,South Asia,road,FCEV,0.044749215232600004
430,2040,South Asia,ship,BEV,0.000155631342
431,2040,South Asia,ship,FCEV,6.823795e-05
434,2045,Africa_Western,aviation,BEV,0.00361192592
