Year,biomass,fossil fuel,industry,refined liquid
2005,,,0.36219999999999997,
2010,,,0.3222828,
2015,,,0.49475492,
2020,,,0.71008710704388,
2025,0.05543381199999999,1.0988993525,1.58882061106649,0.5445493
2030,0.16974526,2.9205417916,3.65980227360982,0.99132
2035,0.581025804,5.861711598199999,8.25358392075889,1.67545988
2040,1.424549863,10.144673173000001,15.046628850821941,2.6414494200000003
2045,2.5276749049999996,15.2188013177,22.22444657908498,3.5617978819999996
2050,3.66337331,19.8401083906,28.75890416527406,4.158945834
2055,5.029160000000001,23.096408452949998,34.46273498247,4.189119845
2060,5.193400099000001,22.025694113140002,37.442241094225004,3.091412503
2065,4.752635242,18.496638988934997,38.745404056285,2.127029255
2070,3.9727707376,14.887304796232002,38.9427796900763,1.486955348
2075,3.4217078506000003,12.005694603982,39.34269447832239,1.2130105890000002
2080,3.2015231197999996,9.831049608330101,40.5219548517572,1.083157678
2085,3.2744268063999997,8.545736055626001,42.39734458172303,1.035538406
2090,3.4702260721999996,7.780352741328,44.65423832670986,1.0103524005
2095,3.5964048550000003,7.132794191979,46.95760090954614,0.9536401343
2100,3.7544403049999997,6.768933161225001,49.038483648615056,0.9946323038999999
