Year,industry
2005,14.14686
2010,13.95987
2015,18.48744
2020,22.15746005616345
2025,26.71961128191408
2030,31.47128383685007
2035,36.623608169665
2040,41.908484317072734
2045,47.30754209880967
2050,52.87516163544696
2055,58.309249557183016
2060,63.30211601471555
2065,67.82788062586683
2070,71.74936333775533
2075,74.58192445691662
2080,76.68009433878493
2085,78.21353327247203
2090,79.17888158539512
2095,79.58357938745785
2100,79.36623691961492
