,Units,scenario,Year,value
0,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",1975,0.0338
1,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",1980,0.249086
2,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",1985,0.262505
3,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",1990,0.417984
4,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",1995,0.384619
5,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",2000,0.612469
6,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",2005,0.73481
7,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",2010,0.858692
8,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",2015,1.01154
9,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",2020,1.16352
10,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",2025,1.29945
11,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",2030,1.43302
12,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",2035,1.54619
13,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",2040,1.63826
14,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",2045,1.70441
15,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",2050,1.74416
16,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",2055,1.76193
17,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",2060,1.76473
18,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",2065,1.7595
19,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",2070,1.74861
20,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",2075,1.73263
21,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",2080,1.71187
22,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",2085,1.68673
23,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",2090,1.65763
24,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",2095,1.62532
25,degreesC,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",2100,1.59064
