,region,Year,sector,value
144,South Asia,2050,N fertilizer,0.030326300599999998
145,South Asia,2050,agricultural energy use,0.00506377892
146,South Asia,2050,comm heating,0.000959541
147,South Asia,2050,comm others,0.001937855
148,South Asia,2050,construction energy use,0.00038795092
149,South Asia,2050,iron and steel,0.00154598398
150,South Asia,2050,mining energy use,2.4062884e-06
151,South Asia,2050,other industrial energy use,0.00881723824
152,South Asia,2050,process heat cement,0.0078017677
153,South Asia,2050,resid heating,0.0074665800000000004
154,South Asia,2050,resid others,0.024985359999999998
155,South Asia,2050,transport,0.07009675397300001
156,South Asia,2085,N fertilizer,0.0760807936
157,South Asia,2085,agricultural energy use,0.0053756778900000005
158,South Asia,2085,chemical energy use,0.0300556319
159,South Asia,2085,comm heating,0.01568097
160,South Asia,2085,comm others,0.01229242
161,South Asia,2085,construction energy use,0.0008640395
162,South Asia,2085,iron and steel,0.0083374343
163,South Asia,2085,mining energy use,5.285501e-06
164,South Asia,2085,other industrial energy use,0.02215889815
165,South Asia,2085,process heat cement,0.0466666082
166,South Asia,2085,resid heating,0.0889113
167,South Asia,2085,resid others,0.061920199999999995
168,South Asia,2085,transport,0.19632650506000002
