,region,Year,sector,value
133,China,2085,iron and steel,0.7001019900000001
134,China,2085,mining energy use,0.009014358
135,China,2085,other industrial energy use,0.10376747589999999
136,China,2085,process heat cement,0.30540616350000005
137,China,2085,resid heating,0.888475
138,China,2085,resid others,0.134232
139,China,2085,trn_aviation_intl,0.0317556
140,China,2085,trn_freight,0.432761
141,China,2085,trn_freight_road,0.21206671
142,China,2085,trn_pass,0.648764
143,China,2085,trn_pass_road,0.0847873
144,China,2085,trn_pass_road_LDV_4W,0.036473469
145,China,2085,trn_shipping_intl,0.401864
146,India,2030,N fertilizer,0.005259309
147,India,2030,agricultural energy use,0.01157274
148,India,2030,comm others,0.000444617
149,India,2030,construction energy use,0.000811612
150,India,2030,iron and steel,0.004525541
151,India,2030,mining energy use,0.001904649
152,India,2030,other industrial energy use,0.006307429000000001
153,India,2030,process heat cement,0.0016717275000000002
154,India,2030,resid others,0.000307273
155,India,2030,trn_freight,0.00807531
156,India,2030,trn_freight_road,0.0247506651
157,India,2030,trn_pass_road,0.00886278
158,India,2030,trn_pass_road_LDV_4W,0.00065416336
159,India,2050,N fertilizer,0.0920457957
160,India,2050,agricultural energy use,0.04519636
161,India,2050,comm others,0.0026311
162,India,2050,construction energy use,0.004886275
163,India,2050,iron and steel,0.0062307054
164,India,2050,mining energy use,0.008122568
165,India,2050,other industrial energy use,0.0502004264
166,India,2050,process heat cement,0.029403233600000002
167,India,2050,resid others,0.0015546
168,India,2050,trn_aviation_intl,0.000549911
169,India,2050,trn_freight,0.039734315000000006
170,India,2050,trn_freight_road,0.248691988
171,India,2050,trn_pass,0.0246191
172,India,2050,trn_pass_road,0.0341317
173,India,2050,trn_pass_road_LDV_4W,0.0032982923500000007
174,India,2050,trn_shipping_intl,0.00271275
175,India,2085,N fertilizer,0.22250974599999998
176,India,2085,agricultural energy use,0.04082239
177,India,2085,chemical energy use,0.0035394529999999997
178,India,2085,comm others,0.00526089
179,India,2085,construction energy use,0.00700661
180,India,2085,iron and steel,0.013440341043000001
181,India,2085,mining energy use,0.008578699
182,India,2085,other industrial energy use,0.0890792946
183,India,2085,process heat cement,0.192451462
184,India,2085,resid others,0.00222108
185,India,2085,trn_aviation_intl,0.0159684
186,India,2085,trn_freight,0.05381608
187,India,2085,trn_freight_road,0.28353035999999987
188,India,2085,trn_pass,0.330556
189,India,2085,trn_pass_road,0.0236963
190,India,2085,trn_pass_road_LDV_4W,0.0073114456800000005
191,India,2085,trn_shipping_intl,0.043019
192,South Asia,2030,N fertilizer,0.0020949786
193,South Asia,2030,agricultural energy use,0.0012717878799999999
194,South Asia,2030,comm heating,6.0947000000000004e-05
195,South Asia,2030,comm others,0.0001581433
196,South Asia,2030,construction energy use,4.251171e-05
197,South Asia,2030,iron and steel,0.00015610947
198,South Asia,2030,mining energy use,2.580655e-07
199,South Asia,2030,other industrial energy use,0.0009350947
200,South Asia,2030,process heat cement,0.00032738147000000003
201,South Asia,2030,resid heating,0.000551497
202,South Asia,2030,resid others,0.002132723
203,South Asia,2030,trn_freight,0.000258566
204,South Asia,2030,trn_freight_road,0.003971463855
205,South Asia,2030,trn_pass_road,0.0039048600000000004
206,South Asia,2030,trn_pass_road_LDV_4W,0.00044084660200000003
207,South Asia,2050,N fertilizer,0.030326300599999998
208,South Asia,2050,agricultural energy use,0.00506377892
209,South Asia,2050,comm heating,0.000959541
210,South Asia,2050,comm others,0.001937855
211,South Asia,2050,construction energy use,0.00038795092
212,South Asia,2050,iron and steel,0.00154598398
213,South Asia,2050,mining energy use,2.4062884e-06
214,South Asia,2050,other industrial energy use,0.00881723824
215,South Asia,2050,process heat cement,0.0078017677
216,South Asia,2050,resid heating,0.0074665800000000004
217,South Asia,2050,resid others,0.024985359999999998
218,South Asia,2050,trn_aviation_intl,0.00028448199999999996
219,South Asia,2050,trn_freight,0.0011296729999999999
220,South Asia,2050,trn_freight_road,0.046193245300000005
221,South Asia,2050,trn_pass,0.000646583
222,South Asia,2050,trn_pass_road,0.01861515
223,South Asia,2050,trn_pass_road_LDV_4W,0.002520207673
224,South Asia,2050,trn_shipping_intl,0.000707413
225,South Asia,2085,N fertilizer,0.0760807936
226,South Asia,2085,agricultural energy use,0.0053756778900000005
227,South Asia,2085,chemical energy use,0.0300556319
228,South Asia,2085,comm heating,0.01568097
229,South Asia,2085,comm others,0.01229242
230,South Asia,2085,construction energy use,0.0008640395
231,South Asia,2085,iron and steel,0.0083374343
232,South Asia,2085,mining energy use,5.285501e-06
