,sector,region,scenario,Year,value
0,,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2010,-2.388889255024956e-10
1,,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,-6.543203074339044e-09
2,,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2035,-1.0451572939117293e-08
3,,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2040,-2.081124920894018e-08
4,,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,-8.946823332671822e-09
5,,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2065,-3.19123884919441e-07
6,,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,-1.9947762432052132e-08
7,,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2020,-4.205225924883093e-07
8,,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,-3.361942005155039e-08
9,,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2040,-1.4172450305e-06
10,,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,-1.0013459681e-06
11,,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,-2.843102621737845e-08
12,,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2060,-7.317331111191146e-07
13,,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,-2.0116143485178952e-08
14,,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,-8.72893074671427e-08
15,,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,-3.33754341567028e-07
16,,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2095,-8.782678582006317e-09
17,,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2100,-3.344314295518955e-09
18,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2005,-1.5340275083e-06
19,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2020,-2.8061518409e-06
20,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2025,-4.6424422722e-06
21,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,-5.41463323778e-05
22,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2040,-0.0001443733386217
23,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,-0.0001102488635477
24,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,-5.79694820845e-05
25,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2055,-0.000116949398125
26,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,-2.60096532064e-05
27,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,-1.52966524268e-05
28,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,-9.158665423336446e-07
29,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2085,-6.382668946589496e-07
30,,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2095,-3.8749761583160975e-08
31,,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2010,-1.6831346386570769e-07
32,,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2020,-8.617914754410102e-07
33,,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,-1.475621977e-06
34,,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,-2.5432251565e-06
35,,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,-1.9318368683517458e-07
36,,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2090,-1.1109706600310724e-08
37,,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2095,-6.284711729206021e-09
38,,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2100,-2.731970612887984e-09
39,,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2010,-9.726722443068471e-09
40,,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2015,-3.2287468615189417e-07
41,,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2025,-2.2369754246271586e-07
42,,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,-4.9660892271e-06
43,,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2035,-1.20336661369e-05
44,,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,-1.17082995679e-05
45,,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,-8.0616298617e-06
46,,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2065,-3.6292348586e-06
47,,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,-4.922595837722354e-07
48,,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2090,-7.311480922462817e-08
49,,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2100,-1.5998704409404602e-09
50,H2 wholesale dispensing,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2025,0.016475870476010474
51,H2 wholesale dispensing,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,0.098759308034119
52,H2 wholesale dispensing,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2035,0.34247832979740095
53,H2 wholesale dispensing,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2040,0.7132771510087021
54,H2 wholesale dispensing,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,1.1258762256401202
55,H2 wholesale dispensing,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,1.530297414020615
56,H2 wholesale dispensing,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2055,1.8857015920807587
57,H2 wholesale dispensing,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2060,2.2974821357509416
58,H2 wholesale dispensing,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2065,2.80780837602097
59,H2 wholesale dispensing,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,3.4301333504429943
60,H2 wholesale dispensing,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,3.978545357877383
61,H2 wholesale dispensing,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,4.325841159719216
62,H2 wholesale dispensing,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2085,4.48412424216526
63,H2 wholesale dispensing,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2090,4.427631422193581
64,H2 wholesale dispensing,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2095,4.1414137081138875
65,H2 wholesale dispensing,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2100,3.621555155415331
66,H2 wholesale dispensing,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2025,0.09036308792864871
67,H2 wholesale dispensing,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,0.45462285816371023
68,H2 wholesale dispensing,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2035,0.9154508432309328
69,H2 wholesale dispensing,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2040,1.4189712666272674
70,H2 wholesale dispensing,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,1.8502530278348521
71,H2 wholesale dispensing,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,2.1245637837698546
72,H2 wholesale dispensing,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2055,2.235271834296467
73,H2 wholesale dispensing,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2060,2.267505805347355
74,H2 wholesale dispensing,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2065,2.2431311196074937
75,H2 wholesale dispensing,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,2.1892774382300804
76,H2 wholesale dispensing,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,2.1172252857248433
77,H2 wholesale dispensing,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,1.9814272748340287
78,H2 wholesale dispensing,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2085,1.7713757937591539
79,H2 wholesale dispensing,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2090,1.457879347916291
80,H2 wholesale dispensing,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2095,1.0446165092805706
81,H2 wholesale dispensing,Brazil,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2100,0.6485641862596632
82,H2 wholesale dispensing,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2025,0.2525409661167197
83,H2 wholesale dispensing,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,1.1013691248186537
84,H2 wholesale dispensing,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2035,2.5273828735076633
85,H2 wholesale dispensing,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2040,3.9403103354517257
86,H2 wholesale dispensing,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,5.4545748105857
87,H2 wholesale dispensing,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,6.592057244289893
88,H2 wholesale dispensing,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2055,7.218881963431032
89,H2 wholesale dispensing,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2060,7.635759661568956
90,H2 wholesale dispensing,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2065,7.965300807737483
91,H2 wholesale dispensing,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,8.519638920642588
92,H2 wholesale dispensing,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,9.051583147859162
93,H2 wholesale dispensing,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,9.205303370189103
94,H2 wholesale dispensing,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2085,8.918474828721168
95,H2 wholesale dispensing,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2090,8.065793125742507
96,H2 wholesale dispensing,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2095,6.597007515980201
97,H2 wholesale dispensing,China,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2100,4.744560297917535
98,H2 wholesale dispensing,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2025,0.1619849870713993
99,H2 wholesale dispensing,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,0.7363752332634315
100,H2 wholesale dispensing,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2035,1.9932782473997335
101,H2 wholesale dispensing,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2040,3.3337321171020324
102,H2 wholesale dispensing,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,4.326146502230286
103,H2 wholesale dispensing,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,4.854841992203124
104,H2 wholesale dispensing,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2055,5.0354786368536075
105,H2 wholesale dispensing,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2060,5.227954833886124
106,H2 wholesale dispensing,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2065,5.473839727629412
107,H2 wholesale dispensing,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,5.682291713224781
108,H2 wholesale dispensing,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,5.663890403915734
109,H2 wholesale dispensing,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,5.380211939023344
110,H2 wholesale dispensing,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2085,4.939220194919155
111,H2 wholesale dispensing,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2090,4.3910779062458865
112,H2 wholesale dispensing,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2095,3.7617864625521427
113,H2 wholesale dispensing,India,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2100,3.0665929993633427
114,H2 wholesale dispensing,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2025,0.0111722857109831
115,H2 wholesale dispensing,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2030,0.0521872373827014
116,H2 wholesale dispensing,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2035,0.13326262085298657
117,H2 wholesale dispensing,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2040,0.21266287076684906
118,H2 wholesale dispensing,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2045,0.2915956825893186
119,H2 wholesale dispensing,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2050,0.33930477195231845
120,H2 wholesale dispensing,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2055,0.3561943317797917
121,H2 wholesale dispensing,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2060,0.3724992892055167
122,H2 wholesale dispensing,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2065,0.39739635633515463
123,H2 wholesale dispensing,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2070,0.4430552596948641
124,H2 wholesale dispensing,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2075,0.4918650232313483
125,H2 wholesale dispensing,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2080,0.5295394685828059
126,H2 wholesale dispensing,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2085,0.558751050699058
127,H2 wholesale dispensing,South Asia,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",2090,0.5705307999142997
